IDENTIFIERS,,,,,TRIAD VARIABLE,INDIVIDUAL I.V.s: P1,,,INDIVIDUAL I.V.: P2,DYAD I.V.s: SYMMETRICAL,,,DYAD I.V.: ASSYMETRICAL,D.V.s: PRISONER'S DILEMMA PLAY,,D.V.s: WARMTH & COMPETENCE RATINGS,,,
original sort order,triad,code letters of P1 & P2,chairs of P1 & P2,P1 ID#,Sex,P1 childhood zip code income,P1 primary psychopathy,P1 secondary psychopathy,P2 facial attractiveness,cultural style similarity,language style matching score,common ground discovered,P2 interrupts P1,P1 PD toward P2,P2 PD toward P1,P1 rates P2's warmth,P1 rates P2's competence,P2 rates P1's warmth,P2 rates P1's competence
86,15,BA,LC,92181552,1,1.13,-0.45,-0.17,0.59,0.59,0.82,1,0.00,1,1,0.68,1.16,0.89,0.99
85,15,AB,CL,92180476,1,0.60,-0.35,0.32,-0.46,0.59,0.82,1,0.24,1,1,0.89,0.99,0.68,1.16
89,15,BC,LR,92181552,1,1.13,-0.45,-0.17,0.59,0.14,0.82,1,0.00,1,0,1.05,0.99,0.89,0.78
90,15,CB,RL,92153712,1,-0.62,-0.18,-0.41,-0.46,0.14,0.82,1,0.00,0,1,0.89,0.78,1.05,0.99
87,15,AC,CR,92180476,1,0.60,-0.35,0.32,0.59,-1.10,0.86,1,0.24,1,0,0.47,0.83,0.52,0.72
88,15,CA,RC,92153712,1,-0.62,-0.18,-0.41,0.59,-1.10,0.86,1,0.24,0,1,0.52,0.72,0.47,0.83
94,16,CA,LC,92138100,1,1.87,0.74,2.51,0.17,0.14,0.81,1,0.27,1,1,0.47,0.50,1.05,-0.85
93,16,AC,CL,13254299,1,-0.56,1.79,3.24,0.70,0.14,0.81,1,0.27,1,1,1.05,-0.85,0.47,0.50
96,16,CB,LR,92138100,1,1.87,0.74,2.51,-0.14,-1.10,0.81,1,0.27,1,1,-1.40,-1.07,0.95,-0.20
95,16,BC,RL,92156003,1,0.93,0.08,1.29,0.70,-1.10,0.81,1,0.27,1,1,0.95,-0.20,-1.40,-1.07
91,16,AB,CR,13254299,1,-0.56,1.79,3.24,-0.14,0.32,0.77,1,0.27,1,0,-2.52,-0.91,-0.28,0.78
